nombre,correo,carrera
Ana Torres,ana.torres@udd.cl,Ingeniería Civil Industrial
Luis Fuentes,luis.fuentes@udd.cl,Ingeniería Civil Informática
Carolina Rivas,carolina.rivas@udd.cl,Ingeniería Civil Industrial
Matías Vera,matias.vera@udd.cl,Ingeniería Civil Informática
Fernanda Soto,fernanda.soto@udd.cl,Ingeniería Comercial
Jorge Álvarez,jorge.alvarez@udd.cl,Ingeniería Comercial
Valentina Ortiz,valentina.ortiz@udd.cl,Diseño Industrial
Diego Cárdenas,diego.cardenas@udd.cl,Diseño Industrial
Camila Navarro,camila.navarro@udd.cl,Ingeniería Comercial
Andrés Pizarro,andres.pizarro@udd.cl,Ingeniería Civil Industrial
